State,EXP_per_cap_in_$_2007,EXP_per_cap_in_$_2012
AK,582.7155098160566,511.4807882164624
AL,649.5113669582424,674.8027203993412
AR,576.2104436298346,622.6752881862941
AZ,760.500460761949,577.718809326425
CA,761.4471253362109,642.4874574597317
CO,747.0957935358963,617.9516242351316
CT,569.3310801585053,436.6822439664065
DC,1043.8608605056472,1035.3916078727304
DE,652.4464012251149,553.3169838602568
FL,632.3373780797825,530.2675895225394
GA,749.6665527793269,666.1460080361869
HI,1036.4801074998122,836.4084339862886
IA,489.0446170690606,479.4927804167679
ID,570.6714231506087,470.63844722015017
IL,629.8144346864195,608.7322135075378
IN,652.9673208633845,611.2947785655758
KS,610.8893780654633,608.8071732218581
KY,666.2345126601734,677.7319606459772
LA,630.5034978930295,650.7235556374505
MA,670.0110267649086,495.4216534595941
MD,683.2726452972782,642.9707514255205
ME,557.6023022566852,447.1769309921483
MI,491.9520601011587,523.8877860998792
MN,578.8291808949676,521.2382004317762
MO,623.5205428356501,567.2954634409176
MS,588.6173311519354,627.3073381439513
MT,549.1850431447747,513.3804876011197
NC,746.0213064145953,644.8528183806033
ND,491.9339769542202,585.339597487684
NE,605.4428804923608,568.8101975368536
NH,650.0567250316801,502.3747424556433
NJ,518.4480084617351,436.78311147507685
NM,737.1968603322845,665.5701354425643
NV,939.130452189083,694.2785858317415
NY,487.5571873084629,482.4102318512989
OH,622.3082777099552,649.0934716612463
OK,676.9308078990238,623.0262226857951
OR,710.6891069997979,531.0894068697348
PA,452.121536148282,425.6834691595223
RI,636.5543312674863,453.2820973737127
SC,711.5155687470533,632.1961410563588
SD,547.6906486638296,534.2984268272655
TN,702.9736436032457,665.318391538602
TX,784.2561464658671,728.768645439685
UT,669.7383852274505,600.6271386693131
VA,721.8231507597275,635.0676982024836
VT,402.09780446662177,364.11200201932104
WA,683.8388624868747,505.2608161073935
WI,510.55964427374886,495.4132671296318
WV,552.553607057064,595.6438373871642
WY,656.20861027741,598.0271441107411
