State,fast_food_count_2009,fast_food_count_2014,CPT_fast_food_2009,CPT_fast_food_2014,CPT_fast_food_2012
AK,396,429,10.630458711000001,9.190640310000001,9.7665676704
AL,3322,3561,38.254781593,39.071533605999996,38.7448328008
AR,1881,1939,39.410640232000006,39.54770809400002,39.492880949200014
AZ,4071,4211,8.143672428,7.963666179999999,8.035668679199999
CA,25842,28292,37.3286136,37.524069948,37.4458874088
CO,3577,3877,44.97559357699999,43.617239114,44.1605808992
CT,2021,2429,4.143977389,4.942180768,4.6228994164
DC,732,839,1.236010455,1.273347873,1.2584129058
DE,594,615,1.9305207910000002,1.881616453,1.9011781882
FL,11055,12156,33.461105403000005,34.304432786999996,33.9671018334
GA,6901,7702,88.11815111799999,90.83735265799997,89.74967204199997
HI,1274,1249,3.7485815870000003,3.3339208670000002,3.499785155
IA,1883,1918,50.804312130999996,48.74673627499999,49.56976661739999
ID,997,1041,26.521337647,25.987993842999995,26.201331364599998
IL,9003,9643,53.765252814000014,54.22306405,54.03993955560001
IN,4294,4753,52.55029374399998,56.224925243000015,54.7550726434
KS,1874,2001,51.05592911200004,54.706257846999996,53.246126353000015
KY,2896,3133,64.53794811600004,67.93152079999997,66.5740917264
LA,2927,3268,33.20986396799999,35.009328131,34.2895424658
MA,4534,5080,10.917334675,11.792504282000001,11.4424364392
MD,4525,4896,17.506260612000005,18.44868647,18.071716126800002
ME,884,931,9.645931522000001,10.131838232000002,9.937475548000002
MI,6283,6656,45.30596323499999,49.026120949,47.5380578634
MN,3258,3419,45.015891172999986,44.06928123299998,44.44792520899998
MO,3964,4041,54.144435159000025,53.83060933199998,53.9561396628
MS,1895,2112,42.674083789,46.65607074399997,45.063275961999985
MT,720,703,33.70632384500001,28.025278377000003,30.297696564200006
NC,6630,7355,60.313928942000025,65.48100380900001,63.414173862200016
ND,382,456,25.104344465999997,23.246932607000005,23.989897350600003
NE,1228,1346,40.913088275000014,41.28953820300002,41.13895823180002
NH,1039,1017,7.370363361999999,7.472783504,7.431815447199999
NJ,6375,6655,15.831517269,15.929973519,15.890591019
NM,1324,1449,19.450106768000005,19.782839146999997,19.6497461954
NV,2110,2250,8.198572439,9.26061927,8.835800537599999
NY,14329,16721,38.917440094999996,43.859691839000014,41.882791141400006
OH,8638,9094,58.71911197299997,61.163538992999996,60.185768184999986
OK,2494,2764,37.26805101899999,37.651967361,37.4984008242
OR,2757,2767,22.72629683600001,22.70836871,22.715539960400005
PA,8207,8910,36.18180812999999,38.58680172200002,37.62480428520001
RI,794,821,3.797565774,3.910355663,3.8652397074
SC,3303,3411,26.820076937,26.58922658299999,26.681566724599996
SD,498,521,29.976269251999998,30.050015648000006,30.020517089600002
TN,4405,4645,50.948862943,52.666243249,51.979291126599996
TX,16652,18804,150.90637695999993,158.82948825799997,155.66024373879995
UT,1921,2138,23.082214385999997,25.630342087,24.6110910066
VA,5908,6248,95.35635263100002,95.34005416000001,95.34657354840002
VT,360,397,6.956537847,7.627194766,7.3589319984
WA,4767,4828,22.43136657300001,22.472085656,22.455798022800003
WI,3326,3534,34.914460076,37.910923635,36.7123382114
WV,1239,1261,28.967896833999994,28.92144934199999,28.94002833879999
WY,403,391,16.651999182,15.860278363000003,16.1769666906
